email,telefon,tip_cont,tip_colaborator,prenume,nume,denumire_afisata_contact,username_propus,judet,localitate,denumire_organizatie,denumire_legala,cui,cui_cu_ro,reg_com,adresa_firma,reprezentant_legal,judet_firma,localitate_firma,adapost_public_ong,segmente,marketing_email_viitor,nota_interna,stare
,0731406024,adapost,adpub,,,http://directiapublicamotru-sa.ro/,,Gorj,Motru,http://directiapublicamotru-sa.ro/,,,,,"Municipiul Motru, tarlaua 6A, parcela 1, nr cadastral 35668",Mantoc Gheorghe 0731406024,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/gorj/ | fingerprint=gorj|http://directiapublicamotru-sa.ro/|municipiul motru, tarlaua 6a, parcela 1, nr cadastral 35668 | Capacitate: 70; Program: Luni – Vineri: 07.00 – 15.00",ready
serviciipublice2007@yahoo.com,0765485977,adapost,adprv,,,https://ro-ro.facebook.com/SPL.Rovinari/,,Gorj,Oraş Rovinari,https://ro-ro.facebook.com/SPL.Rovinari/,,,,,"Oraş Rovinari, strada Constructorilor, nr. 35 A",Vilau Viorel 0765485977,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/gorj/ | fingerprint=gorj|https://ro-ro.facebook.com/spl.rovinari/|oras rovinari, strada constructorilor, nr. 35 a | Capacitate: 260; Program: Luni – Vineri: 08.00 – 16.00",ready
,0766747470,adapost,adpub,,,primariaturceni.ro,,Gorj,Oraş Turceni,primariaturceni.ro,,,,,"Oraş Turceni, str. Muncii, nr. 12",Cioc Petrica Cristinel 0766747470,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/gorj/ | fingerprint=gorj|primariaturceni.ro|oras turceni, str. muncii, nr. 12 | Capacitate: 50; Program: Luni – Vineri: 10.00 – 16.00 / Sâmbătă-Duminică: 10.00 – 12.00",ready
,0722225388,adapost,adprv,,,Adăpost,,Gorj,Mun. Targu Jiu,Adăpost,,,,,"Mun. Targu Jiu, str. Termocentralei, nr. 40A",0722225388,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/gorj/ | fingerprint=gorj|adapost|mun. targu jiu, str. termocentralei, nr. 40a | Capacitate: 600",ready
,0722526418,adapost,adpub,,,ADAPOST SERVICIUL SPECIALIZAT PENTRU GESTIONAREA CAINILOR FARA STAPAN AL MUN. MIERCUREA CIUC,,Harghita,Miercurea Ciuc,ADAPOST SERVICIUL SPECIALIZAT PENTRU GESTIONAREA CAINILOR FARA STAPAN AL MUN. MIERCUREA CIUC,,,,,"Municipiul Miercurea Ciuc, strada DN12A, fn, nr. cadastral 63337",Gegő Katalin – 0040722526418,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/harghita/ | fingerprint=harghita|adapost serviciul specializat pentru gestionarea cainilor fara stapan al mun. miercurea ciuc|municipiul miercurea ciuc, strada dn12a, fn, nr. cadastral 63337 | Capacitate: 50; Program: Luni – Vineri: 10.00 – 18.00",ready
proanimaliaoffice@gmail.com,0749416802,adapost,adprv,,,ADAPOST FUNDATIA PRO ANIMALIA (Miercurea Ciuc),,Harghita,Miercurea Ciuc,ADAPOST FUNDATIA PRO ANIMALIA (Miercurea Ciuc),,,,,"Municipiul Miercurea Ciuc, strada DN12A nr. 138D",Gidro Paula 0749416802,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/harghita/ | fingerprint=harghita|adapost fundatia pro animalia (miercurea ciuc)|municipiul miercurea ciuc, strada dn12a nr. 138d | Capacitate: 300; Program: Luni – Vineri: 10.00 – 15.00",ready
,0741111839,adapost,adpub,,,ADAPOST CFS – TOPLITA,,Harghita,Topliţa,ADAPOST CFS – TOPLITA,,,,,"Municipiul Topliţa, strada Sportivilor, nr. 50",Buzdugan Florin (0741111839),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/harghita/ | fingerprint=harghita|adapost cfs – toplita|municipiul toplita, strada sportivilor, nr. 50 | Capacitate: 40; Program: Luni – Vineri: 10.00 – 18.00",ready
,0266218383,adapost,adpub,,,ADAPOST PRIMARIA MUN ODORHEIU SECUIESC,,Harghita,Odorheiu Secuiesc,ADAPOST PRIMARIA MUN ODORHEIU SECUIESC,,,,,"Municipiul Odorheiu Secuiesc, F.N.","Ambrus Arnold (0040266218383, 0040266211929)",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/harghita/ | fingerprint=harghita|adapost primaria mun odorheiu secuiesc|municipiul odorheiu secuiesc, f.n. | Capacitate: 88; Program: Luni – Vineri: 10.00 – 18.00",ready
,0740253901,adapost,adprv,,,ADAPOST ASOCIATIA  PENTRU  PROTECTIA  ANIMALELOR  SI  A MEDIULUI  GHEORGHENI,,Harghita,Ditrau,ADAPOST ASOCIATIA  PENTRU  PROTECTIA  ANIMALELOR  SI  A MEDIULUI  GHEORGHENI,,,,,"Com. Ditrau, str. Nicolae Balcescu, nr. 294/D",Jakab Agota Julia (0040740253901),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/harghita/ | fingerprint=harghita|adapost asociatia pentru protectia animalelor si a mediului gheorgheni|com. ditrau, str. nicolae balcescu, nr. 294/d | Capacitate: 100; Program: Luni – Vineri: 12.00 – 16.00",ready
,0739856483,adapost,adpub,,,ADAPOST PRIMARIA GHEORGHENI,,Harghita,Mun. Gheorghieni,ADAPOST PRIMARIA GHEORGHENI,,,,,"Mun. Gheorghieni, str. Carierei, nr. 6A",Laszlo Endre (0739856483),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/harghita/ | fingerprint=harghita|adapost primaria gheorgheni|mun. gheorghieni, str. carierei, nr. 6a | Capacitate: 100; Program: Luni – Vineri: 10.00 – 18.00",ready
,0755231373,adapost,adprv,,,ADAPOST ASOCIATIA FRIENDLY ANIMAL SHELTER,,Harghita,Sanpaul,ADAPOST ASOCIATIA FRIENDLY ANIMAL SHELTER,,,,,"sat Sanpaul, com. Martinis, Dj 133, FN","Vass Andras (0755231373, 0755406773)",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/harghita/ | fingerprint=harghita|adapost asociatia friendly animal shelter|sat sanpaul, com. martinis, dj 133, fn | Capacitate: 80; Program: Luni – Vineri: 10.00 – 14.00",ready
adapost_hunedoara@yahoo.com,0726018672,adapost,adpub,,,ADAPOST PUBLIC PETROSANI,,Hunedoara,Petrosani,ADAPOST PUBLIC PETROSANI,,,,,"Municipiul Petrosani, strada Mihai Eminescu, nr. 22A",Anghel Loredana Liliana 0726018672,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost public petrosani|municipiul petrosani, strada mihai eminescu, nr. 22a | Capacitate: 128; Program: Luni – Vineri: 10.00 – 12.00, S-D 10:00 – 11:00",ready
,0774981832,adapost,adpub,,,ADAPOST SC ECOSERV SRL HUNEDOARA,,Hunedoara,Hunedoara,ADAPOST SC ECOSERV SRL HUNEDOARA,,,,,"Municipiul Hunedoara, strada Rotarilor, nr. 70",Bobaru Petru Mircea 0774981832,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost sc ecoserv srl hunedoara|municipiul hunedoara, strada rotarilor, nr. 70 | Capacitate: 156; Program: Luni – Vineri: 10.00 – 18.00, S-D 10-12",ready
orastie@asjhunedoara.ro,0783384724,adapost,adpub,,,ADAPOST ORASTIE – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,Hunedoara,Orăștie,ADAPOST ORASTIE – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,,,,"Municipiul Orăștie, strada Crișan, (zona Zăvoi)","Ghenea Mihai (0783384724, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost orastie – asociatia serviciului judetean pentru ocrotirea animalelor fara stapan|municipiul orastie, strada crisan, (zona zavoi) | Capacitate: 88; Program: Luni – Vineri: 11.00 – 13.00, S-D 10-11",ready
brad@asjhunedoara.ro,0783384722,adapost,adpub,,,ADAPOST BRAD – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,Hunedoara,Brad,ADAPOST BRAD – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,,,,"Municipiul Brad, strada Dealul Racovei, nr. 4A","Man Florian Vasile (0783384722, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost brad – asociatia serviciului judetean pentru ocrotirea animalelor fara stapan|municipiul brad, strada dealul racovei, nr. 4a | Capacitate: 120; Program: Luni – Vineri: 11.00 – 13.00 / Sâmbătă/Duminică: 10.00 – 11.00",ready
uricani@asjhunedoara.ro,0783384726,adapost,adpub,,,ADAPOST URICANI – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,Hunedoara,Oraş Uricani,ADAPOST URICANI – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,,,,"Oraş Uricani, Valea de Brazi, strada Tulisa, f.n.","Berchi Carmen; (0783384726, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost uricani – asociatia serviciului judetean pentru ocrotirea animalelor fara stapan|oras uricani, valea de brazi, strada tulisa, f.n. | Capacitate: 88; Program: Luni – Vineri: 11.00 – 13.00 / Sâmbătă/Duminică: 10.00 – 11.00",ready
calan@asjhunedoara.ro,0783384725,adapost,adpub,,,ADAPOST CALAN – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,Hunedoara,Oraş Călan,ADAPOST CALAN – Asociaţia Serviciului Judeţean pentru Ocrotirea Animalelor Fără Stăpân,,,,,"Oraş Călan, strada Criseni, nr. 15A","Mitroi Oana; (0783384725, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost calan – asociatia serviciului judetean pentru ocrotirea animalelor fara stapan|oras calan, strada criseni, nr. 15a | Capacitate: 88; Program: Luni – Vineri: 11.00 – 13.00, Sâmbătă/Duminică: 10.00 – 11.00",ready
,0772203525,adapost,adprv,,,ADAPOST ASOCIATIA SUFLETELE NIMANUI,,Hunedoara,Pestisu Mare,ADAPOST ASOCIATIA SUFLETELE NIMANUI,,,,,"Sat Pestisu Mare, nr. 21",Ani Cicalau (0772203525),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost asociatia sufletele nimanui|sat pestisu mare, nr. 21 | Capacitate: 280; Program: Luni – Duminica: 09.00 – 13.00",ready
,0724379377,adapost,adprv,,,ADAPOST ASOCIATIA BOBITZA ARK,,Hunedoara,Branisca,ADAPOST ASOCIATIA BOBITZA ARK,,,,,"loc. Branisca, nr. 213",Roxana Simion (0724379377),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost asociatia bobitza ark|loc. branisca, nr. 213 | Capacitate: 100; Program: Luni – Vineri: 10.00 – 13.00, 15:00 – 18:00 / Sâmbătă-Duminică: 10.00 – 13.00, 15:00 – 18:00",ready
deva@asjhunedoara.ro,0783384723,adapost,adpub,,,ADAPOST PUBLIC DEVA – SERVICIUL JUDETEAN PENTRU OCROTIREA CAINILOR FARA STAPAN,,Hunedoara,Santuhalm,ADAPOST PUBLIC DEVA – SERVICIUL JUDETEAN PENTRU OCROTIREA CAINILOR FARA STAPAN,,,,,"Santuhalm, Deva, fn","Iotcu Luminita (0783384723, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost public deva – serviciul judetean pentru ocrotirea cainilor fara stapan|santuhalm, deva, fn | Capacitate: 128; Program: Luni – Vineri: 11.00 – 13.00, / Sâmbătă-Duminică: 10.00 – 11.00",ready
,0768542112,adapost,adprv,,,ADAPOST ASOCIATIA  ECHIPA  DE  VIS  FULGY,,Hunedoara,Barastii Hategului,ADAPOST ASOCIATIA  ECHIPA  DE  VIS  FULGY,,,,,"loc. Barastii Hategului, nr. cadastral A1, com. Santamaria Orlea",Cisineanu Gabriela (0768542112),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost asociatia echipa de vis fulgy|loc. barastii hategului, nr. cadastral a1, com. santamaria orlea | Capacitate: 72; Program: Luni – Vineri: 12.00 – 14.00, / Sâmbătă-Duminică: 12.00 – 13.00",ready
,0773973215,adapost,adprv,,,ADAPOST ASOCIATIA  ANIMALUTELE  CRINEI-MARIA,,Hunedoara,Totia,ADAPOST ASOCIATIA  ANIMALUTELE  CRINEI-MARIA,,,,,"localitatea Totia, Extravilan CF 62422, comuna Băcia",Sturza Crina Maria (0773973215),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost asociatia animalutele crinei-maria|localitatea totia, extravilan cf 62422, comuna bacia | Capacitate: 200 caini, 60 pisici; Program: Luni – Vineri: 16.00 – 18.00, / Sâmbătă-Duminică: 14.00 – 16.00",ready
,0723238082,adapost,adprv,,,ADAPOST ASOCIATIA  LUPY,,Hunedoara,Orăștie,ADAPOST ASOCIATIA  LUPY,,,,,"Municipiul Orăștie, zona Baraj-Zăvoi, CF 62885, județul Hunedoara.","Petric Gabriel, Tel. 0723238082",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/hunedoara/ | fingerprint=hunedoara|adapost asociatia lupy|municipiul orastie, zona baraj-zavoi, cf 62885, judetul hunedoara. | Capacitate: 75; Program: Luni – Vineri: 09.00 – 13.00, / Sâmbătă-Duminică: 10.00 – 11.00",ready
,0726658184,adapost,adpub,,,ADAPOST CONSILIUL LOCAL AMARA,,Ialomița,Amara,ADAPOST CONSILIUL LOCAL AMARA,,,,,"Amara, DN 193, tarlaua 48, parcela 247 – in incinta Oborului Orasenesc Amara",Bratu Gheorghe (0726658184),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ialomita/ | fingerprint=ialomita|adapost consiliul local amara|amara, dn 193, tarlaua 48, parcela 247 – in incinta oborului orasenesc amara | Capacitate: 88; Program: Luni – Vineri: 08.00 – 16.00, Sâmbătă/Duminică: 08.00 – 12.00",ready
dadp@municipiulslobozia.ro,0243235496,adapost,adpub,,,ADAPOST – CONSILIUL LOCAL MUN. SLOBOZIA,,Ialomița,Slobozia,ADAPOST – CONSILIUL LOCAL MUN. SLOBOZIA,,,,,"Municipiul Slobozia, str. Gării nr. 56",Badarau Dumitru 0243235496,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ialomita/ | fingerprint=ialomita|adapost – consiliul local mun. slobozia|municipiul slobozia, str. garii nr. 56 | Capacitate: 92; Program: Luni – Vineri: 07.30 – 16.30 /",ready
serviciul_adp@yahoo.com,0787614355,adapost,adpub,,,ADAPOST – SADP TANDAREI,,Ialomița,Oraş Ţăndărei,ADAPOST – SADP TANDAREI,,,,,"Oraş Ţăndărei, str. Bucureşti, nr. 275",Chioveanu Săndel 0787614355,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ialomita/ | fingerprint=ialomita|adapost – sadp tandarei|oras tandarei, str. bucuresti, nr. 275 | Capacitate: 120; Program: Luni – Joi: 07.00 – 16.00, Vineri: 07.00 – 13.00",ready
dadpfetesti@yahoo.com,0343401660,adapost,adpub,,,ADAPOST Consiliul Local Fetești,,Ialomița,Oraş Feteşti,ADAPOST Consiliul Local Fetești,,,,,"Oraş Feteşti, strada Călăraşi nr. 547A",Gheorghe Ana Alina (0343401660; ),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ialomita/ | fingerprint=ialomita|adapost consiliul local fetesti|oras fetesti, strada calarasi nr. 547a | Capacitate: 82; Program: Luni – Vineri: 08.00 – 16.00",ready
adapostmunicipaliasi@gmail.com,0729292826,adapost,adpub,,,ADAPOST SC SOCIETATEA SALUBRIS SA – Primăria Municipiului Iaşi,,Iași,Șoseaua Iaşi – Tomeşti (DN 28 Iași – Albiţa) Km 1-2,ADAPOST SC SOCIETATEA SALUBRIS SA – Primăria Municipiului Iaşi,,,,,Șoseaua Iaşi – Tomeşti (DN 28 Iași – Albiţa) Km 1-2,"dr. Tărăboanţă Anca (0729292826; , )",,,1,noutati_ong_adapost,,Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/iasi/ | fingerprint=iasi|adapost sc societatea salubris sa – primaria municipiului iasi|soseaua iasi – tomesti (dn 28 iasi – albita) km 1-2 | Capacitate: 1700; Program: Luni – Vineri: 10.00 – 18.00 / Sâmbătă – Duminică: 10.00 – 14.00,ready
apistopvet@gmail.com,0742082482,adapost,adprv,,,ADAPOST PASCANI SC APISTOP VET SRL,,Iași,Cristesti,ADAPOST PASCANI SC APISTOP VET SRL,,,,,"sat Cristesti, com. Cristesti",Radu Lucian (0742082482 ),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/iasi/ | fingerprint=iasi|adapost pascani sc apistop vet srl|sat cristesti, com. cristesti | Capacitate: 500; Program: Luni – Vineri: 10.00 – 18.00, S-D: 10-14",ready
asociatiahelpourpaws.ong@gmail.com,0742392273,adapost,adprv,,,ADAPOST ASOCIATIA  SAVE OUR  PAWS,,Iași,Poieni,ADAPOST ASOCIATIA  SAVE OUR  PAWS,,,,,"sat Poieni, com. Schitu Duca","dr. Stratulat Emma (0742392273, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/iasi/ | fingerprint=iasi|adapost asociatia save our paws|sat poieni, com. schitu duca | Capacitate: 112; Program: Luni – Vineri: 09.00 – 17.00",ready
adapostcaini@primariamiroslava.ro,0746396051,adapost,adpub,,,ADAPOST SC SERVICII PUBLICE MIROSLAVA,,Iași,Valea Adanca,ADAPOST SC SERVICII PUBLICE MIROSLAVA,,,,,"sat Valea Adanca, com. Miroslava, nr. cadastral 76345","Olariu Georgiana Lacramioara (0232 463614, 0746396051, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/iasi/ | fingerprint=iasi|adapost sc servicii publice miroslava|sat valea adanca, com. miroslava, nr. cadastral 76345 | Capacitate: 225; Program: Luni – Vineri: 10.00 – 16.00",ready
tiby_23@yahoo.com,0721117665,adapost,adpub,,,adoptailfov.ro,,Ilfov,Com Branesti,adoptailfov.ro,,,,,"Com Branesti, sat Islaz, str. Fermelor, nr. 51","Belous Tiberiu (0721117665, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|adoptailfov.ro|com branesti, sat islaz, str. fermelor, nr. 51 | Capacitate: 276; Program: Luni – Vineri: 09.00 – 16.00",ready
bragadiru@aspa.ro,0734301394,adapost,adpub,,,www.aspa.ro / https://www.facebook.com/aspabragadiru/,,Ilfov,Oraş Bragadiru,www.aspa.ro / https://www.facebook.com/aspabragadiru/,,,,,"Oraş Bragadiru, E 70, (incinta penitenciarului Bucureşti – Rahova)",Mara Marnas (0734301394; ),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|www.aspa.ro / https://www.facebook.com/aspabragadiru/|oras bragadiru, e 70, (incinta penitenciarului bucuresti – rahova) | Capacitate: 1527; Program: M – S: 10.00 – 16.00",ready
reludeliu@yahoo.com,0723343915,adapost,adprv,,,https://adapostulsperanta.ro/,,Ilfov,Oraș Popești-Leordeni,https://adapostulsperanta.ro/,,,,,"Oraș Popești-Leordeni, Tarlaua 3, Parcela 7","Deliu Aurelian (0723343915, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|https://adapostulsperanta.ro/|oras popesti-leordeni, tarlaua 3, parcela 7 | Capacitate: 380; Program: Luni – Vineri: 10.00 – 14.00 / Sâmbătă-Duminică: 10.00 – 12.00",ready
,0766509676,adapost,adprv,,,Facebook – Adapost Canin Mogosoaia,,Ilfov,Mogoșoaia,Facebook – Adapost Canin Mogosoaia,,,,,"Comuna Mogoșoaia, strada Morii, nr. 9",Sarbu Ioana (0766509676),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|facebook – adapost canin mogosoaia|comuna mogosoaia, strada morii, nr. 9 | Capacitate: 300; Program: Luni – Vineri: 10.30 – 14.30",ready
pantazi_ionut@yahoo.com,0721260634,adapost,adprv,,,Adăpost,,Ilfov,Baloteşti,Adăpost,,,,,"Comuna Baloteşti, Sos. Bucureşti – Ploiești Km. 21, in incinta ICDCB Balotesti","Pantazi Radu (0721260634, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|adapost|comuna balotesti, sos. bucuresti – ploiesti km. 21, in incinta icdcb balotesti | Capacitate: 260; Program: Luni – Vineri: 12.00 – 16.00",ready
corina.condrut@ps2.ro,0768173388,adapost,adpub,,,adapostanimale.pentrusectorul2.ro,,Ilfov,Cernica,adapostanimale.pentrusectorul2.ro,,,,,"Comuna Cernica, sat Tânganu, Str. Nicolae Iorga, nr. 31",Codrut Andreea Corina (0768173388; ),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|adapostanimale.pentrusectorul2.ro|comuna cernica, sat tanganu, str. nicolae iorga, nr. 31 | Capacitate: 404; Program: Luni – Dum: 11.00 – 13.00",ready
vetevolution@yahoo.com,0785370001,adapost,adprv,,,https://www.facebook.com/Vet-Evolution-114864220344328,,Ilfov,Oraș Măgurele,https://www.facebook.com/Vet-Evolution-114864220344328,,,,,"Oraș Măgurele, loc. Varteju, strada Eclipsei, nr. 7",Marin Maria (0785370001; ),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|https://www.facebook.com/vet-evolution-114864220344328|oras magurele, loc. varteju, strada eclipsei, nr. 7 | Capacitate: 256; Program: Luni – Vineri: 10.00 – 14.00 / Sâmbătă: 09.00 – 12.00",ready
ioanacasetti@gmail.com,0723541420,adapost,adprv,,,https://www.facebook.com/Adapost-Mogosoaia-CNPA-990041951029080/ http://mogosoaia.animapro.org/,,Ilfov,Mogoșoaia,https://www.facebook.com/Adapost-Mogosoaia-CNPA-990041951029080/ http://mogosoaia.animapro.org/,,,,,"Comuna Mogoșoaia, str. Muzelor, nr. 1",Ioana Ionescu (0723541420; ),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|https://www.facebook.com/adapost-mogosoaia-cnpa-990041951029080/ http://mogosoaia.animapro.org/|comuna mogosoaia, str. muzelor, nr. 1 | Capacitate: 200; Program: Luni – Dum: 08.00 – 14.00",ready
cainifarastapanbuftea@yahoo.ro,0746206286,adapost,adpub,,,www.primariabuftea.ro,,Ilfov,Oraş Buftea,www.primariabuftea.ro,,,,,"Oraş Buftea, strada Rândunelelor, nr. 51",Mirea Daniel (0746206286; ),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|www.primariabuftea.ro|oras buftea, strada randunelelor, nr. 51 | Capacitate: 380; Program: Luni – Dum: 11.00 – 12.00",ready
murgu.alina_m@yahoo.com,0727042942,adapost,adprv,,,Facebook – Suflete Dragi,,Ilfov,Vidra,Facebook – Suflete Dragi,,,,,"com. Vidra, sat Sintesti, str. Linia Viilor 1, tarla 9, parcela 74/4/4",Murgu Alina (0727042942; ),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|facebook – suflete dragi|com. vidra, sat sintesti, str. linia viilor 1, tarla 9, parcela 74/4/4 | Capacitate: 280 caini, 40 pisici; Program: Luni – Vineri: 10.00 – 12.00",ready
alex.all4dogs@yahoo.com,0751017223,adapost,adprv,,,Facebook – Tails 4 travel,,Ilfov,oras Pantelimon,Facebook – Tails 4 travel,,,,,"oras Pantelimon, sos. Cernica, nr. 7-9","Postelnicu Alexandru 0751017223; (, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|facebook – tails 4 travel|oras pantelimon, sos. cernica, nr. 7-9 | Capacitate: 170 caini, 30 pisici; Program: Luni – Vineri: 09.00 – 16.00",ready
un.catalina@yahoo.com,0742760573,adapost,adprv,,,hopeforcatasstrays.org,,Ilfov,Tunari,hopeforcatasstrays.org,,,,,"Tunari, fn, tarla 24, parcela 120/7/1",Voicu Nicoleta 0742760573,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|hopeforcatasstrays.org|tunari, fn, tarla 24, parcela 120/7/1 | Capacitate: 300 caini, 25 pisici; Program: Luni – Vineri: 10.00 – 14.00",ready
grigoreta-mares@yahoo.com,0726282622,adapost,adprv,,,www.helpinganimalsromania.de,,Ilfov,Ilfov Buftea,www.helpinganimalsromania.de,,,,,"Ilfov Buftea, strl Rasaritului nr 29",Gerlinde Weimmer 0726282622,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/ilfov/ | fingerprint=ilfov|www.helpinganimalsromania.de|ilfov buftea, strl rasaritului nr 29 | Capacitate: 200 caini, 50 pisici; Program: Luni – Vineri: 12.00 – 16.00",ready
bohonimonika@yahoo.com,0743114488,adapost,adpub,,,ADAPOST CONSILIUL  LOCAL  BAIA  MARE – Asociaţia Salvaţi Animalele,,Maramureș,Baia Mare,ADAPOST CONSILIUL  LOCAL  BAIA  MARE – Asociaţia Salvaţi Animalele,,,,,"Municipiul Baia Mare, strada Iazului, nr. 2","Bohoni Monika (0743114488; , )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/maramures/ | fingerprint=maramures|adapost consiliul local baia mare – asociatia salvati animalele|municipiul baia mare, strada iazului, nr. 2 | Capacitate: 480; Program: Luni – Vineri: 08.00 – 16.00  / Sâmbătă-Duminică: 08.00 – 12.00",ready
